group_id	review_text	rating	category
b0013frnkg_distilbert_version_3_how is sound	Seemless.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	speedier	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Face Time support.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	more bright and crisp	4	electronics
b0013frnkg_distilbert_version_3_how is sound	amazed	4	electronics
b0013frnkg_distilbert_version_3_how is sound	great device	4	electronics
b0013frnkg_distilbert_version_3_how is sound	positively and negatively)	4	electronics
b0013frnkg_distilbert_version_3_how is sound	difference	4	electronics
b0013frnkg_distilbert_version_3_how is sound	holding the iPad in my hands	4	electronics
b0013frnkg_distilbert_version_3_how is sound	The Glass is thinne	4	electronics
b0013frnkg_distilbert_version_3_how is sound	FaceTime	4	electronics
b0013frnkg_distilbert_version_3_how is sound	minimal weight	4	electronics
b0013frnkg_distilbert_version_3_how is sound	troublesome	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Flash driven	4	electronics
b0013frnkg_distilbert_version_3_how is sound	exciting and new,	4	electronics
b0013frnkg_distilbert_version_3_how is sound	they aren't as convenient	4	electronics
b0013frnkg_distilbert_version_3_how is sound	relatively unbiased	4	electronics
b0013frnkg_distilbert_version_3_how is sound	greatly expand the native capability	4	electronics
b0013frnkg_distilbert_version_3_how is sound	3D	4	electronics
b0013frnkg_distilbert_version_3_how is sound	It looks great	4	electronics
b0013frnkg_distilbert_version_3_how is sound	better	4	electronics
b0013frnkg_distilbert_version_3_how is sound	heavy web video user.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	oleophobic	4	electronics
b0013frnkg_distilbert_version_3_how is sound	camera usage. You can get an excellent digital camera	4	electronics
b0013frnkg_distilbert_version_3_how is sound	"It always seems to correct ""its"" to ""it's"","	4	electronics
b0013frnkg_distilbert_version_3_how is sound	can't easily use external storage.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	perfectly compatible with the iPad.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	slick, entertaining	4	electronics
b0013frnkg_distilbert_version_3_how is sound	to replace anything you already have; the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Very good	5	electronics
b0013frnkg_distilbert_version_3_how is sound	positively and negatively)	4	electronics
b0013frnkg_distilbert_version_3_how is sound	difference	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Jetson's TV/Phone.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	it's more akin to showing off.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	app availability.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Battery Life.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	lack of expansion	4	electronics
b0013frnkg_distilbert_version_3_how is sound	additional purchases for features that some tablets offer built in.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	exciting and new,	4	electronics
b0013frnkg_distilbert_version_3_how is sound	far exceeds its current competitors.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Love	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Best tablets on the market.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Very clean	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Blurry picture and freezes	3	electronics
b0013frnkg_distilbert_version_3_how is sound	today....I love it!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Can't go wrong with an ipad 2!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Good use for iPad	5	electronics
b0013frnkg_distilbert_version_3_how is sound	anymore,there is no hope to ever upgrade it	1	electronics
b0013frnkg_distilbert_version_3_how is sound	She loves it.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	still working very well.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Fast delivery!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Amazing	5	electronics
b0013frnkg_distilbert_version_3_how is sound	minor scratches	4	electronics
b0013frnkg_distilbert_version_3_how is sound	highly recommend.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Very pleased shipped very fast	5	electronics
b0013frnkg_distilbert_version_3_how is sound	brand new!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	awesome condition	5	electronics
b0013frnkg_distilbert_version_3_how is sound	brand new.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	better condition	5	electronics
b0013frnkg_distilbert_version_3_how is sound	slightly worn.	1	electronics
b0013frnkg_distilbert_version_3_how is sound	working condition.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	great device	3	electronics
b0013frnkg_distilbert_version_3_how is sound	fair price.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	It serves me well.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Didn't meet my needs	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Very bad	1	electronics
b0013frnkg_distilbert_version_3_how is sound	nice hard case I love it	5	electronics
b0013frnkg_distilbert_version_3_how is sound	clicking	1	electronics
b0013frnkg_distilbert_version_3_how is sound	It does occasionally freeze,	5	electronics
b0013frnkg_distilbert_version_3_how is sound	perfect	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Excellent!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	super duper sllllloooowww	3	electronics
b0013frnkg_distilbert_version_3_how is sound	The speaker is blown	1	electronics
b0013frnkg_distilbert_version_3_how is sound	horrible.	3	electronics
b0013frnkg_distilbert_version_3_how is sound	Good vendor.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Looks brand new no dings, scratches and dents	5	electronics
b0013frnkg_distilbert_version_3_how is sound	metallic back was slightly dented.	1	electronics
b0013frnkg_distilbert_version_3_how is sound	ridiculous!!	2	electronics
b0013frnkg_distilbert_version_3_how is sound	Superior product	5	electronics
b0013frnkg_distilbert_version_3_how is sound	perfect for the Apple	5	electronics
b0013frnkg_distilbert_version_3_how is sound	feels, and acts brand new!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	on your doorstep	5	electronics
b0013frnkg_distilbert_version_3_how is sound	listening to music,	5	electronics
b0013frnkg_distilbert_version_3_how is sound	slow	5	electronics
b0013frnkg_distilbert_version_3_how is sound	In excellent condition.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Good thank.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	very happy	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Night, and love it,but to slow	4	electronics
b0013frnkg_distilbert_version_3_how is sound	wifi	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Works great	5	electronics
b0013frnkg_distilbert_version_3_how is sound	It comes with a different device charger	1	electronics
b0013frnkg_distilbert_version_3_how is sound	It takes longer to open up than my older version.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	disappointed	1	electronics
b0013frnkg_distilbert_version_3_how is sound	They loved it.	4	electronics
b0013frnkg_distilbert_version_3_how is sound	unuseable	1	electronics
b0013frnkg_distilbert_version_3_how is sound	Great little unit for the price	5	electronics
b0013frnkg_distilbert_version_3_how is sound	duped.	1	electronics
b0013frnkg_distilbert_version_3_how is sound	extremely slow	2	electronics
b0013frnkg_distilbert_version_3_how is sound	Love my iPad!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Very Quickly-	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Good ipad...	4	electronics
b0013frnkg_distilbert_version_3_how is sound	it's a good purchase.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Fantastic value and my wife loves it	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Happy happy	5	electronics
b0013frnkg_distilbert_version_3_how is sound	Works great!	5	electronics
b0013frnkg_distilbert_version_3_how is sound	everything is good	4	electronics
b0013frnkg_distilbert_version_3_how is sound	Nice deal. Works well.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	the speaker is not very loud.	5	electronics
b0013frnkg_distilbert_version_3_how is sound	I'm very pleased.	5	electronics
