group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	have ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	lighter	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	size,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	a c	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	charged mine	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	one,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	multi-tasking support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	battery life.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	the screen at half brightness,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	dedicated usb support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	sd card slot.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	storage. i purchased a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	android.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	greatly expand the native capability	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	$ each.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it looks great and has never crashed or had a framerate stutter.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	gets - hours on a charge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	power it back on.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	can't easily use external storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	$+?	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it may be bad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	very good speed.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it's the same resolution.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	magnetic sensors in the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	e moment is app availability.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	battery life.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	usb support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	tablets	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	very clean	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	blurry picture and freezes	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	anymore,there is no hope to ever upgrade	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	working	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	charger	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	charger	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	micro usb charging cable	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	charger port died after two months and when i tried to fix it,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	a lightning cable	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	the speaker is blown so we have to replace it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	two	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	in a heartbeat!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	tablet works great.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	amazon!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ridiculous!!	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	superior product	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	under $ used.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it still has the very fast processing power of . ghz and mb of ram.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ten hours,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it comes safely sealed in custom made protective bubble wrap,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	holds a charge	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	good thank.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	very happy this tablet works great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	slow	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	works great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it comes with a different device charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it takes longer to open up than my older version.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	double checked.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	as gift. they loved it.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	locked by este lauder	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	great little unit for the price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	at a great rate.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	wrote to the times	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	extremely slow for a gb	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	ipad!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	very quickly-	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	good ipad...	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	small drive.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it's a good purchase.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	fantastic value and my wife loves it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	happy happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	works great!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	everything is good	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	nice deal.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it is still working well! he uses it daily.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	perfect condition for a used item.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it looked brand new(not	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	disinfectant wipe to it. disgusting and disappointing!!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	home button	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it doesn't work.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	a great investment	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	battery dies	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	i would buy from these folks any day.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is battery	it would not connect to internet	1	electronics
