group_id	review_text	rating	category
b0013frnkg_version_2_distilbert_how is battery	lighter	4	electronics
b0013frnkg_version_2_distilbert_how is battery	ue to the size,	4	electronics
b0013frnkg_version_2_distilbert_how is battery	the battery still h	4	electronics
b0013frnkg_version_2_distilbert_how is battery	lds a charge	4	electronics
b0013frnkg_version_2_distilbert_how is battery	16 gig	4	electronics
b0013frnkg_version_2_distilbert_how is battery	256MB to 512MB.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	FaceTime	4	electronics
b0013frnkg_version_2_distilbert_how is battery	2 configurations.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	native multi-tasking support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	RAM	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Battery Life.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	2 went just over 11 hours	4	electronics
b0013frnkg_version_2_distilbert_how is battery	you have to have an adapter	4	electronics
b0013frnkg_version_2_distilbert_how is battery	32GB	4	electronics
b0013frnkg_version_2_distilbert_how is battery	No Flash Support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Flash support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	adapters	4	electronics
b0013frnkg_version_2_distilbert_how is battery	DMI.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Android.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	$1	4	electronics
b0013frnkg_version_2_distilbert_how is battery	online play.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	8-10 hours on a charge,	4	electronics
b0013frnkg_version_2_distilbert_how is battery	iPad.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	power it back on.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	fire	4	electronics
b0013frnkg_version_2_distilbert_how is battery	camera usage.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	45-50 WPM on it,	4	electronics
b0013frnkg_version_2_distilbert_how is battery	iPad	4	electronics
b0013frnkg_version_2_distilbert_how is battery	USB or SD card slot,	4	electronics
b0013frnkg_version_2_distilbert_how is battery	ind a converter for them and transfer them to iTunes.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	$500+?	4	electronics
b0013frnkg_version_2_distilbert_how is battery	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_2_distilbert_how is battery	very good speed.	5	electronics
b0013frnkg_version_2_distilbert_how is battery	256MB	4	electronics
b0013frnkg_version_2_distilbert_how is battery	2 cameras	4	electronics
b0013frnkg_version_2_distilbert_how is battery	native multi-tasking support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	RAM	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Battery Life.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	dedicated USB support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	no dedicated SD card slot.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	32GB	4	electronics
b0013frnkg_version_2_distilbert_how is battery	adapter.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Flash support.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	adapters for USB/SD/HDMI.	4	electronics
b0013frnkg_version_2_distilbert_how is battery	Love	5	electronics
b0013frnkg_version_2_distilbert_how is battery	tablets	5	electronics
b0013frnkg_version_2_distilbert_how is battery	Very clean	5	electronics
b0013frnkg_version_2_distilbert_how is battery	Blurry picture and freezes	3	electronics
