type,with_opinion_extraction,summarization_model,summary,input_data_file
rating1,yes,copycat,"this is an excellent product for the price i paid for it , i recommend it to. the alex and <UNK> are the only charger that i have found that help keep the <UNK>. the tablet was not what i expected it would be but did not meet my expectations .. screen resolution is not as good as the lcd screen resolution , but not worth the money. este producto es muy <UNK> para decir que decir que se puede decir <UNK> el precio <UNK>. ipad is a great replacement for the original apple ipad , but it is not compatible with. i have to. it does what it 's supposed to do the job of protecting my ipad from scratches and. i would not recommend this product to anyone who want to spend a lot of money on. purchased to go on sale for a gift card for christmas present for christmas gift <UNK> ,. a must have item for anyone who want to know what to do business with their own. waste of money what do not waste your money. waste your money buy something else. what else have said , do not know what to expect , but do not expect to. used to be able to charge , but have not been able to tell the difference <UNK>. it was easy to install the screen protector on my screen protector and now i have to. product arrived on time and in good condition , no damage to the screen protector , but. apple products are not compatible with apple products , but do not waste your time. the ball on the ball of the ball broke off , rendering it not worth the money. sim card is not compatible with windows 7 <UNK> , the sim card does not recognize the. i would recommend it to anyone who want. bought this for my daughter 's birthday gift for her birthday present .",copycat_dataset2/rating_wise_with_opinion/p3/rating1/rating1.csv
rating2,yes,copycat,"the usb port on the end of the charger are starting to fray and tear. product arrived on time and in excellent condition as described by <UNK> recommend it to. the sim card is not compatible with sim cards and sim card slot <UNK>. these are the best voice recorder i have ever owned , have used them for. note that the stand on the stand to be able to stand up to. the ipad connector is not compatible with the ipad , but it does not work. why pay more money to get a better deal on the screen protector , but. remington touchpad is a good product , but it is not compatible with <UNK>. este producto es muy bueno para las personas que decir que se puede decir <UNK>. product is exactly what i expected it to be , and the price was great. bought this for my daughter 's birthday gift for her birthday gift to give. i would not recommend this product to anyone who want to use their ipad and. the screen colors are a bit different than the picture shows , but otherwise ,. charger does not work well with windows 7 , it is not compatible with windows. the remington <UNK> is the best remington <UNK> i have ever owned , but. this is a great product for the price , but it is not compatible with. belkin wap is a good product , but not the best apple products have. the sound quality of this computer is excellent , however , if you have. dont waste your money on this purchase , don 't waste your time or money",copycat_dataset2/rating_wise_with_opinion/p3/rating2/rating2.csv
rating3,yes,copycat,"tablet is a great tablet , but the resolution of the screen resolution are not clear .. worked fine for me to know what to expect it to be used to hold the charge. the cover fit perfectly into the apple bluetooth keyboard , but the bluetooth connection to the ipad. excellent product for the price point , but not the best value for the cost of the. however , i can 't tell the difference. the ipad tablets are not compatible with windows 7 android tablet , but do not work with. unusable. don 't waste your money on this product , waste your time and money ,. the product was exactly what i expected it to be , and i would recommend it. the touch screen is very easy to use touch screen protector screen protector , but not the. product arrived on time and in good condition , but the tablet is not compatible with. the sim card is a great product , but not the best value for the cost of. battery runs a bit slower than the original battery that came with the ios 7 <UNK> battery. charger works fine with my samsung galaxy s3 , but not as good as the original <UNK>. el producto es muy buena calidad , se puede decir que se puede usar con el <UNK>. dont waste your money. don 't waste your money on you get what you pay for <UNK>. this is a great little flash drive for the price i paid for it .. compact and easy to use , but i wish i had read the reviews before purchasing .. not much to say about a charger , but it does what it says it should be. i would recommend this product to anyone",copycat_dataset2/rating_wise_with_opinion/p3/rating3/rating3.csv
rating4,yes,copycat,"compare to buy this type of power supply , but have never seen a better deal. product arrived on time and in perfect condition , as described by seller <UNK> : <UNK>. an excellent product for the price you can 't expect it to be a bit pricey. the display is beautiful , but have not been able to figure out how of use. excellent addition to my <UNK> power <UNK> power source power supply power supply <UNK> power. battery life is better than the original battery that came with <UNK> battery life time <UNK>. the product arrived quickly and have been a great addition to my new ipad mini ipad. good product , have been using it for a couple of months now and have. ram is working fine , but have not been able to notice the speed increase. disappointing. have been using them for a few months now and notice no difference in performance. excellent product for the price , i recommend it to anyone who want to use their. easy to use and clean screen clean screen protector for a great price point and. bluetooth is a good product , but the bluetooth feature is not compatible with bluetooth <UNK>. excelente producto muy buena calidad y <UNK> lo recomiendo 100 % recomendado 100 % 100 %. what else can be said to say about a screen clean screen protector , but. well made , but not as good as the original charger that came with <UNK>. sim card is a must have <UNK> sim card reader sim card slot sim card",copycat_dataset2/rating_wise_with_opinion/p3/rating4/rating4.csv
rating5,yes,copycat,"the only problem i have had come with note is that the ipad is not compatible with. i would recommend this product to anyone. easy to use , easy to read instructions follow instructions and follow directions to follow instructions. ipad mini ipad mini usb port external usb port keypad cover <UNK> ipad keypad keyboard cover. great deal for the price , i recommend highly recommend this product to anyone who want to. purchased to replace a broken screen protector for my daughter 's birthday gift and she loved. used this to connect laptop to my laptop and it worked great no problems encountered ,. product arrived on time and in perfect condition , easy to install , <UNK> recommend to anyone. this is the best ipad i have ever owned , i recommend it to anyone looking for. this tablet is a great tablet for the price point and performance of the best tablet. love <UNK> recommend this product to anyone who want to use their own help protect your investment. excellent product for the price paid for a great deal of <UNK> recommend it to anyone who. el producto llego en perfectas condiciones , sin ningun tipo de <UNK> , es muy buena calidad. battery can 't hold a charge longer than the original battery that came with the book <UNK>",copycat_dataset2/rating_wise_with_opinion/p3/rating5/rating5.csv
how_is_display,yes,copycat,"the samsung galaxy tab 3 <UNK> galaxy tab 2 <UNK> tablet is a great product ,. easy to use touch screen protector for my own android phone touch screen and touch pad. microsoft <UNK> are a great product , <UNK> , and <UNK> android <UNK> android phone <UNK>. the ipad base header is not compatible with windows 7 android phone , but i have. excellent ipad case for the price point it will be the best ipad case i have. great product , i have been using it for years now and have never been disappointed. excellent product for a great price ! i recommend this product to anyone who want to. product arrived on time and in perfect condition , no problems <UNK> recommend this product to. the fit is perfect for me and have to be able to adjust the volume button. not much to say about a refurbished product , but not what i expected it to. ipad card slot is not compatible with sim card slot for sim card slots are not. don 't waste your money on this product.i do not recommend this product to anyone who. excelente producto de buena calidad del producto es muy buena calidad se recomienda para mi <UNK>. it 's a great product for the price you can 't go wrong with apple products. bought this for my son for christmas present for his birthday present and he loves it. it does what it says it will do , but it is not compatible with <UNK>. big waste of time and money to spend money on something that can 't be used",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_display/0.csv
how_is_wireless_connection,yes,copycat,"used to buy ipad but have not been able to find ipad like verizon. have been using this product for a while now and have never been disappointed. however , i can 't. easy to install touch screen protector screen protector for the touch screen touch screen. works great for the price i would recommend it to anyone who want to. used to connect to connect wirelessly connect to be of work , but have. perfect gift for my daughter for her birthday present for her <UNK> she loves. the ipad screen is not compatible with windows 7 <UNK> the screen resolution is. excellent value for the price and performance of performance ratio rate ratio rate <UNK>. purchased to go with use to be able to charge my own android phone. product arrived as promised date , and work great , no problems encountered <UNK>. el producto es lo que decir que se puede decir que decir lo recomiendo. samsung galaxy note 10.1 inch tablet is not compatible with use <UNK> tablet ,. <UNK> is a great product for the price , <UNK> , i recommend <UNK>. the applecare protection plan on the applecare plan to be able to use applecare. the screen is easy to use , but the screen does not stay connected",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_wireless_connection/0.csv
how_is_battery,yes,copycat,"works great , have been using it for about a month now and still have. apple products are not compatible with apple products , but don 't expect to be. easy to use touch screen touch screen protector , but not as scratch the screen. the ipad file exchange is a very good product , i recommend it to anyone. the ipad flash is not compatible with <UNK> flash , but do not recommend to. este producto es muy bueno para mi esposa le doy este producto ,. samsung galaxy note 10.1 inch tablet is not compatible with samsung galaxy tab. excellent product for the price , but not as powerful as i expected it to. what else can be said to say , but do not know what to expect. the cables are working fine , but have not been able to charge the flash. product arrived on time and in perfect condition , no damage to damage my order. recommend this product to anyone who want to use their own <UNK> help keep typing. it was a good buy and i would recommend it to anyone looking for a. what can i say , i love it , i recommend it to anyone who. battery life is better than the original battery that came with the purchase of the. works great , but i wish it had come with a screen protector instead of. bought to go with a gift card for christmas present for my daughter. worked well for a couple of months , then started to turn off switch back",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_battery/0.csv
how_is_operating_system,yes,copycat,"used to be able to connect my ipad to the touch screen touch screen , but. excellent product for the price paid cost , buy , protect your investment , buy. the ipad touch screen is great , but the screen resolution is not clear enough to. this is a good product , but i wish i had read the description of the. i would recommend this product to anyone. worked fine for a couple of months , then started to turn off the battery life. the storage space for travel , but not have to worry about it falling off the. product arrived on time and in good condition and works great. i would recommend it to. an excellent tablet for a fraction of the cost of a tablet market tablet , but. the sound quality of these speakers are great , however , they are not compatible with. easy to use , love the feel of the tablet , feel great and feel good. i have used this product for a while now and have used it a few times. gift for my wife and she loved her gift for her birthday present for her. best buy ever buy <UNK> for the cost of the purchase price , but not <UNK>. excelente producto de buena calidad , se puede decir que se puede <UNK> con el <UNK>. used to be able to charge , but have not been able to figure out how",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_operating_system/0.csv
how_is_processor,yes,copycat,"excellent product for the price point i would recommend it to anyone looking for a good. ipod hard drive hard drive is a great product for the price point , but. battery life is long enough to be able to tell the difference between the printers and. good product for the price paid , but not worth the wait to return it ,. she loves it. bought this for my daughter for christmas present for her birthday gift and she loved. exactly what i expected it to be a great screen protector for the price paid for. love my ipad mini ipad mini screen protector for my new ipad 2 new ipad 3. bluetooth is a good product , but the bluetooth is not compatible with windows 7 ,. excelente producto cumple con todas las expectativas , es una gran calidad de sonido es. best tablet i 've ever owned , have used it for several months now and have. the product arrived in a timely manner and packaged well packaged securely packed with no damage. excellent product , have been using it for over a year now and continue to use. the screen is a bit darker than i thought it would be but otherwise it. excellent product for the price you can 't go wrong with <UNK> recommend it to anyone. easy to use , fast and easy to use.i recommend this product to anyone who. i would recommend this to anyone. easy to use , hold up to charge and hold a charge for long periods of",copycat_dataset2/aspect_wise_with_opinion/p3/how_is_processor/0.csv
