group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	seemless.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	fragile.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	speedier	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	amazed	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	great device	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	positively and negatively)	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	difference	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the ipad outshines it.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	increased ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the screen at half brightness,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	lack of expansion	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	pain,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	they're exciting and new,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	far exceeds its current competitors.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it looks great	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	better	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	better	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	heavy web video user.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	oleophobic	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	apparently they work reasonably well.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	definitely hinders typing speed.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it fixes things that don't need to be fixed.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	can't easily use external storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	annoying	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	multiplayer,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	slick, entertaining	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the ipad itself created.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very good	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	thinness	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	difference	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the ipad outshines it.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	incredibly easy to use	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	lack of expansion	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	flash driven	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	best tablets on the market.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very clean	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	blurry picture and freezes	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	today....i love it!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	can't go wrong with an ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	still working very well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	highly recommend.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very pleased shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	brand new!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	awesome condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	brand new.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	great device	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it serves me well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	nice hard case i love it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	clicking	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it does occasionally freeze,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	perfect	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	super duper sllllloooowww	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the speaker is blown	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	horrible.	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	looks brand new no dings, scratches and dents	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	metallic back was slightly dented.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	ridiculous!!	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	superior product	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it is perfect	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	music,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	slow	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	in excellent condition.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	good thank.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	night, and love it,but to slow	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	works great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it comes with a different device charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it takes longer to open up than my older version.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	disappointed	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	they loved it.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	unuseable	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	great little unit for the price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	duped.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	extremely slow	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	love my ipad!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very quickly-	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	good ipad...	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it's a good purchase.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	fantastic value and my wife loves it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	happy happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	works great!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	everything is good	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	nice deal. works well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	the speaker is not very loud.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	i'm very pleased.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	brand new(not	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	disappointing!!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	software is outdated	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	not any good.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	battery	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	very good condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it would not connect to internet	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	not compatible with the current operating system (ios ).	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	its dinged up	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	it does run slowly	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	no problems with the device	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	ipad works great!!!	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	looks new out of the box, no problems.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	broke weeks later	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	excelent product.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	durable	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	dropping on a hard surface.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	not working older model	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	not happy	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	thanks	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	terrible	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is sound	great service and a quality product.	5	electronics
