group_id	review_text	rating	category
b0013frnkg_distilbert_version_3_how is memory	it's really lighter than the XOOM,	4	electronics
b0013frnkg_distilbert_version_3_how is memory	it feels like it swims around in the original's case	4	electronics
b0013frnkg_distilbert_version_3_how is memory	what you have missed out on.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	16 gig	4	electronics
b0013frnkg_distilbert_version_3_how is memory	tapered edge	4	electronics
b0013frnkg_distilbert_version_3_how is memory	256MB to 512MB.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	The Glass is thinne	4	electronics
b0013frnkg_distilbert_version_3_how is memory	FaceTime	4	electronics
b0013frnkg_distilbert_version_3_how is memory	2 configurations.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	native multi-tasking support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	RAM	4	electronics
b0013frnkg_distilbert_version_3_how is memory	The App store has close to 70,000 iPad specific Apps,	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Battery Life.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	reading itself could go either way. The great benefit to the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is memory	you have to have an adapter	4	electronics
b0013frnkg_distilbert_version_3_how is memory	No Flash Support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Flash support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	adapters for USB/SD/	4	electronics
b0013frnkg_distilbert_version_3_how is memory	It looks great and has never crashed or had a framerate stutter.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	8-10 hours on a charge,	4	electronics
b0013frnkg_distilbert_version_3_how is memory	iPad.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	isopropyl alcohol	4	electronics
b0013frnkg_distilbert_version_3_how is memory	camera usage.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	virtual keyboard	4	electronics
b0013frnkg_distilbert_version_3_how is memory	"It always seems to correct ""its"" to ""it's"","	4	electronics
b0013frnkg_distilbert_version_3_how is memory	iTunes.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Quicktime format.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	$500+?	4	electronics
b0013frnkg_distilbert_version_3_how is memory	it's a slick, entertaining device,	4	electronics
b0013frnkg_distilbert_version_3_how is memory	to replace anything you already have; the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Very good sound.	5	electronics
b0013frnkg_distilbert_version_3_how is memory	256MB to 512MB.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	native multi-tasking support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	RAM	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Battery Life.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	no dedicated USB support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	no dedicated SD card slot.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	lack of expansion	4	electronics
b0013frnkg_distilbert_version_3_how is memory	additional purchases for features that some tablets offer built in.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Flash support.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	adapters for USB/SD/HDMI.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	Love	5	electronics
b0013frnkg_distilbert_version_3_how is memory	tablets	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Very clean	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Blurry picture and freezes often	3	electronics
b0013frnkg_distilbert_version_3_how is memory	my IPAD	5	electronics
b0013frnkg_distilbert_version_3_how is memory	ipad 2!	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Good use for iPad	5	electronics
b0013frnkg_distilbert_version_3_how is memory	anymore,there is no hope to ever upgrade it	1	electronics
b0013frnkg_distilbert_version_3_how is memory	She loves it.	5	electronics
b0013frnkg_distilbert_version_3_how is memory	working very well.	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Fast delivery!	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Amazing	5	electronics
b0013frnkg_distilbert_version_3_how is memory	minor scratches	4	electronics
b0013frnkg_distilbert_version_3_how is memory	shipped very fast	5	electronics
b0013frnkg_distilbert_version_3_how is memory	Camera	5	electronics
b0013frnkg_distilbert_version_3_how is memory	They were in awesome condition	5	electronics
b0013frnkg_distilbert_version_3_how is memory	better condition	5	electronics
b0013frnkg_distilbert_version_3_how is memory	it looked fine, just slightly worn.	1	electronics
b0013frnkg_distilbert_version_3_how is memory	working condition.	5	electronics
b0013frnkg_distilbert_version_3_how is memory	micro usb charging cable	3	electronics
b0013frnkg_distilbert_version_3_how is memory	fair price.	4	electronics
b0013frnkg_distilbert_version_3_how is memory	charger port died after two months and when i tried to fix it,	1	electronics
b0013frnkg_distilbert_version_3_how is memory	It serves me well.	5	electronics
