group_id	review_text	rating	category
b0013frnkg_distilbert_version_3_how is processor	lighter than the XOOM,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	ue to the size,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	what you have missed out on.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	16 gig	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Amazon	4	electronics
b0013frnkg_distilbert_version_3_how is processor	For a tablet device designed to be held,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	ay holding the iPad in my hands	4	electronics
b0013frnkg_distilbert_version_3_how is processor	2 cameras	4	electronics
b0013frnkg_distilbert_version_3_how is processor	FaceTime	4	electronics
b0013frnkg_distilbert_version_3_how is processor	stand in 2 configurations.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	iPad 1,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	RAM	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Battery Life.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	iPad	4	electronics
b0013frnkg_distilbert_version_3_how is processor	all usually about the same).	4	electronics
b0013frnkg_distilbert_version_3_how is processor	you have to have an adapter	4	electronics
b0013frnkg_distilbert_version_3_how is processor	No Flash Support.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	DMI.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Android.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	battery gets 8-10 hours on a charge,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	iPad.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Canon printers	4	electronics
b0013frnkg_distilbert_version_3_how is processor	adding HTML 5 video.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	excellent digital camera	4	electronics
b0013frnkg_distilbert_version_3_how is processor	virtual keyboard	4	electronics
b0013frnkg_distilbert_version_3_how is processor	the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is processor	VGA adapter	4	electronics
b0013frnkg_distilbert_version_3_how is processor	can't easily use external storage.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	iTunes.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Quicktime format.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	$500+?	4	electronics
b0013frnkg_distilbert_version_3_how is processor	it's a slick, entertaining device,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	to replace anything you already have; the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Very good sound.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Amazon	4	electronics
b0013frnkg_distilbert_version_3_how is processor	a laptop or a pad of paper and pencil	4	electronics
b0013frnkg_distilbert_version_3_how is processor	256MB to 512MB.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	graphics processing	4	electronics
b0013frnkg_distilbert_version_3_how is processor	2 cameras	4	electronics
b0013frnkg_distilbert_version_3_how is processor	means to get people to upgrade,	4	electronics
b0013frnkg_distilbert_version_3_how is processor	doubling as a screen protector and stand in 2 configurations.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	native multi-tasking support.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	increased RAM	4	electronics
b0013frnkg_distilbert_version_3_how is processor	app availability.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Battery Life.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	additional purchases for features that some tablets offer built in.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	adapters for USB/SD/HDMI.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Love	5	electronics
b0013frnkg_distilbert_version_3_how is processor	tablets	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Very clean	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Blurry picture and freezes often	3	electronics
b0013frnkg_distilbert_version_3_how is processor	my IPAD	5	electronics
b0013frnkg_distilbert_version_3_how is processor	ipad 2!	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Good use for iPad	5	electronics
b0013frnkg_distilbert_version_3_how is processor	anymore,there is no hope to ever upgrade it	1	electronics
b0013frnkg_distilbert_version_3_how is processor	She loves it.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	working very well.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Fast delivery!	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Amazing	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Works as stated, has minor scratches	4	electronics
b0013frnkg_distilbert_version_3_how is processor	shipped very fast	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Camera	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Christmas gifts	5	electronics
b0013frnkg_distilbert_version_3_how is processor	in better condition	5	electronics
b0013frnkg_distilbert_version_3_how is processor	IPad, and it looked fine, just slightly worn.	1	electronics
b0013frnkg_distilbert_version_3_how is processor	working condition.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	micro usb charging cable	3	electronics
b0013frnkg_distilbert_version_3_how is processor	fair price.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	charger port died after two months and when i tried to fix it,	1	electronics
b0013frnkg_distilbert_version_3_how is processor	It serves me well.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	on our dining table	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Didn't meet my needs	4	electronics
b0013frnkg_distilbert_version_3_how is processor	a screen protector on it	1	electronics
b0013frnkg_distilbert_version_3_how is processor	Very bad	1	electronics
b0013frnkg_distilbert_version_3_how is processor	cheap price	5	electronics
b0013frnkg_distilbert_version_3_how is processor	the iPad takes the old school	1	electronics
b0013frnkg_distilbert_version_3_how is processor	It does occasionally freeze,	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Excellent!	5	electronics
b0013frnkg_distilbert_version_3_how is processor	The speaker is blown so we have to replace it	1	electronics
b0013frnkg_distilbert_version_3_how is processor	Just save and buy a new ipad	3	electronics
b0013frnkg_distilbert_version_3_how is processor	Good vendor.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Tablet	4	electronics
b0013frnkg_distilbert_version_3_how is processor	(Christmas present) is ridiculous!!	2	electronics
b0013frnkg_distilbert_version_3_how is processor	Superior product	5	electronics
b0013frnkg_distilbert_version_3_how is processor	1.0 GHz and 512 MB of RAM.	5	electronics
b0013frnkg_distilbert_version_3_how is processor	custom made protective bubble wrap,	5	electronics
b0013frnkg_distilbert_version_3_how is processor	Ipad	5	electronics
b0013frnkg_distilbert_version_3_how is processor	paid for an older Ipad	5	electronics
b0013frnkg_distilbert_version_3_how is processor	it didn't come with a charger.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	Good thank.	4	electronics
b0013frnkg_distilbert_version_3_how is processor	very happy this tablet works great	5	electronics
