group_id	review_text	rating	category
b0013frnkg_version_1_how is processor	ue to the size,	4	electronics
b0013frnkg_version_1_how is processor	16 gig wifi	4	electronics
b0013frnkg_version_1_how is processor	RAM	4	electronics
b0013frnkg_version_1_how is processor	app availability.	4	electronics
b0013frnkg_version_1_how is processor	Battery Life.	4	electronics
b0013frnkg_version_1_how is processor	32GB	4	electronics
b0013frnkg_version_1_how is processor	Android.	4	electronics
b0013frnkg_version_1_how is processor	alarm clocks,	4	electronics
b0013frnkg_version_1_how is processor	Flash.	4	electronics
b0013frnkg_version_1_how is processor	oleophobic	4	electronics
b0013frnkg_version_1_how is processor	iPad	4	electronics
b0013frnkg_version_1_how is processor	DVI to VGA adapter	4	electronics
b0013frnkg_version_1_how is processor	it's a slick, entertaining device,	4	electronics
b0013frnkg_version_1_how is processor	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_1_how is processor	laptop or a pad of paper and pencil	4	electronics
b0013frnkg_version_1_how is processor	graphics	4	electronics
b0013frnkg_version_1_how is processor	Glass	4	electronics
b0013frnkg_version_1_how is processor	stand in 2 configurations.	4	electronics
b0013frnkg_version_1_how is processor	Multitasking Support	4	electronics
b0013frnkg_version_1_how is processor	RAM	4	electronics
b0013frnkg_version_1_how is processor	gyroscope	4	electronics
b0013frnkg_version_1_how is processor	requires an adapter.	4	electronics
b0013frnkg_version_1_how is processor	iPad 2	4	electronics
b0013frnkg_version_1_how is processor	tablets	5	electronics
b0013frnkg_version_1_how is processor	Blurry picture and freezes	3	electronics
b0013frnkg_version_1_how is processor	IPAD	5	electronics
b0013frnkg_version_1_how is processor	ipad 2!	5	electronics
b0013frnkg_version_1_how is processor	iPad	5	electronics
b0013frnkg_version_1_how is processor	upgrade	1	electronics
b0013frnkg_version_1_how is processor	Fast delivery!	5	electronics
b0013frnkg_version_1_how is processor	Amazing	5	electronics
b0013frnkg_version_1_how is processor	charger	5	electronics
b0013frnkg_version_1_how is processor	Very pleased shipped very fast	5	electronics
b0013frnkg_version_1_how is processor	worn.	1	electronics
b0013frnkg_version_1_how is processor	micro usb charging cable	3	electronics
b0013frnkg_version_1_how is processor	fair price.	4	electronics
b0013frnkg_version_1_how is processor	iPad on our dining table	5	electronics
b0013frnkg_version_1_how is processor	screen protector	1	electronics
b0013frnkg_version_1_how is processor	lightning cable	1	electronics
b0013frnkg_version_1_how is processor	Excellent!	5	electronics
b0013frnkg_version_1_how is processor	super duper sllllloooowww and heavy	3	electronics
b0013frnkg_version_1_how is processor	iPad	1	electronics
b0013frnkg_version_1_how is processor	ipad	3	electronics
b0013frnkg_version_1_how is processor	Good vendor.	5	electronics
b0013frnkg_version_1_how is processor	Looks brand new	5	electronics
b0013frnkg_version_1_how is processor	Tablet	4	electronics
b0013frnkg_version_1_how is processor	metallic back was slightly dented. First time this happens to me with amazon!	1	electronics
b0013frnkg_version_1_how is processor	volume button	2	electronics
b0013frnkg_version_1_how is processor	ing a month	2	electronics
b0013frnkg_version_1_how is processor	Superior product	5	electronics
b0013frnkg_version_1_how is processor	1.0 GHz	5	electronics
b0013frnkg_version_1_how is processor	custom made protective bubble wrap,	5	electronics
b0013frnkg_version_1_how is processor	In excellent condition.	4	electronics
b0013frnkg_version_1_how is processor	Good thank.	4	electronics
b0013frnkg_version_1_how is processor	tablet	5	electronics
b0013frnkg_version_1_how is processor	it just had one little scratch to the back.	5	electronics
b0013frnkg_version_1_how is processor	Use it everyday,	4	electronics
b0013frnkg_version_1_how is processor	Works great	5	electronics
b0013frnkg_version_1_how is processor	It comes with a different device charger	1	electronics
b0013frnkg_version_1_how is processor	It takes longer to open up than my older version.	4	electronics
b0013frnkg_version_1_how is processor	iPad	1	electronics
b0013frnkg_version_1_how is processor	LOCKED.	1	electronics
b0013frnkg_version_1_how is processor	second generation iPad	1	electronics
b0013frnkg_version_1_how is processor	slow for a 32 gb	2	electronics
b0013frnkg_version_1_how is processor	iPad!	5	electronics
b0013frnkg_version_1_how is processor	ipad...	4	electronics
b0013frnkg_version_1_how is processor	Apple	5	electronics
b0013frnkg_version_1_how is processor	Works great!	5	electronics
b0013frnkg_version_1_how is processor	everything is good	4	electronics
b0013frnkg_version_1_how is processor	Works well.	5	electronics
b0013frnkg_version_1_how is processor	He uses it daily.	5	electronics
b0013frnkg_version_1_how is processor	iPad	5	electronics
b0013frnkg_version_1_how is processor	Home button	2	electronics
b0013frnkg_version_1_how is processor	plugged it up to chargend	1	electronics
b0013frnkg_version_1_how is processor	Battery	1	electronics
b0013frnkg_version_1_how is processor	iPad 2	4	electronics
b0013frnkg_version_1_how is processor	it has 16%	3	electronics
b0013frnkg_version_1_how is processor	It does run slowly	4	electronics
b0013frnkg_version_1_how is processor	no problems with the device	4	electronics
b0013frnkg_version_1_how is processor	Ipad	4	electronics
b0013frnkg_version_1_how is processor	Great for everything an iPad	5	electronics
b0013frnkg_version_1_how is processor	Excelent product.	5	electronics
b0013frnkg_version_1_how is processor	brand new and perfect,	5	electronics
