group_id	review_text	rating	category
b0013frnkg_version_1_how is camera	sleekness of the device	4	electronics
b0013frnkg_version_1_how is camera	Face Time support.	4	electronics
b0013frnkg_version_1_how is camera	16 gig wifi	4	electronics
b0013frnkg_version_1_how is camera	video,	4	electronics
b0013frnkg_version_1_how is camera	app availability.	4	electronics
b0013frnkg_version_1_how is camera	Battery Life.	4	electronics
b0013frnkg_version_1_how is camera	the screen at half brightness, wifi turned on,	4	electronics
b0013frnkg_version_1_how is camera	allows for certain USB devices to be used	4	electronics
b0013frnkg_version_1_how is camera	an adapter	4	electronics
b0013frnkg_version_1_how is camera	Android.	4	electronics
b0013frnkg_version_1_how is camera	alarm clocks,	4	electronics
b0013frnkg_version_1_how is camera	camera usage.	4	electronics
b0013frnkg_version_1_how is camera	iPad	4	electronics
b0013frnkg_version_1_how is camera	Adobe Flash,	4	electronics
b0013frnkg_version_1_how is camera	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_1_how is camera	facetime and web.	5	electronics
b0013frnkg_version_1_how is camera	Glass	4	electronics
b0013frnkg_version_1_how is camera	video,	4	electronics
b0013frnkg_version_1_how is camera	gyroscope	4	electronics
b0013frnkg_version_1_how is camera	Battery Life.	4	electronics
b0013frnkg_version_1_how is camera	allows for certain USB devices to be used	4	electronics
b0013frnkg_version_1_how is camera	an ada	4	electronics
b0013frnkg_version_1_how is camera	requires an adapter.	4	electronics
b0013frnkg_version_1_how is camera	Flash driven	4	electronics
b0013frnkg_version_1_how is camera	"""find my iphone"" app"	1	electronics
b0013frnkg_version_1_how is camera	Blurry picture and freezes	3	electronics
b0013frnkg_version_1_how is camera	IPAD	5	electronics
b0013frnkg_version_1_how is camera	ipad 2!	5	electronics
b0013frnkg_version_1_how is camera	Good use for iPad	5	electronics
b0013frnkg_version_1_how is camera	This item	1	electronics
b0013frnkg_version_1_how is camera	it.	5	electronics
b0013frnkg_version_1_how is camera	Fast delivery!	5	electronics
b0013frnkg_version_1_how is camera	Amazing	5	electronics
b0013frnkg_version_1_how is camera	has minor scratches	4	electronics
b0013frnkg_version_1_how is camera	Camera works great	5	electronics
b0013frnkg_version_1_how is camera	awesome condition when we received them.	5	electronics
b0013frnkg_version_1_how is camera	micro usb charging cable for an Iphone or mini iPad	3	electronics
b0013frnkg_version_1_how is camera	iPad	5	electronics
b0013frnkg_version_1_how is camera	screen protector	1	electronics
b0013frnkg_version_1_how is camera	perfect	5	electronics
