group_id	review_text	rating	category
b0013frnkg_version_3_how is operating system	16 gig wifi	4	electronics
b0013frnkg_version_3_how is operating system	FaceTime	4	electronics
b0013frnkg_version_3_how is operating system	Multitasking Support	4	electronics
b0013frnkg_version_3_how is operating system	RAM	4	electronics
b0013frnkg_version_3_how is operating system	app availability.	4	electronics
b0013frnkg_version_3_how is operating system	Battery Life.	4	electronics
b0013frnkg_version_3_how is operating system	wifi turned on,	4	electronics
b0013frnkg_version_3_how is operating system	adapter.	4	electronics
b0013frnkg_version_3_how is operating system	Windows PCs	4	electronics
b0013frnkg_version_3_how is operating system	Flash.	4	electronics
b0013frnkg_version_3_how is operating system	screen protector like the ZAGG InvisibleShield	4	electronics
b0013frnkg_version_3_how is operating system	"It always seems to correct ""its"" to ""it's"","	4	electronics
b0013frnkg_version_3_how is operating system	DVI to VGA adapter	4	electronics
b0013frnkg_version_3_how is operating system	Adobe Flash,	4	electronics
b0013frnkg_version_3_how is operating system	sturdy in your hands.	4	electronics
b0013frnkg_version_3_how is operating system	screen protector and stand in 2 configurations.	4	electronics
b0013frnkg_version_3_how is operating system	Multitasking Support	4	electronics
b0013frnkg_version_3_how is operating system	app availability.	4	electronics
b0013frnkg_version_3_how is operating system	Android	4	electronics
b0013frnkg_version_3_how is operating system	Blurry picture and freezes	3	electronics
b0013frnkg_version_3_how is operating system	IPAD	5	electronics
b0013frnkg_version_3_how is operating system	ipad 2!	5	electronics
b0013frnkg_version_3_how is operating system	iPad	5	electronics
b0013frnkg_version_3_how is operating system	upgrade	1	electronics
b0013frnkg_version_3_how is operating system	Fast delivery!	5	electronics
b0013frnkg_version_3_how is operating system	Amazing	5	electronics
b0013frnkg_version_3_how is operating system	does not lag, holds a charge.	5	electronics
b0013frnkg_version_3_how is operating system	in awesome condition when we received them.	5	electronics
b0013frnkg_version_3_how is operating system	in better condition	5	electronics
b0013frnkg_version_3_how is operating system	micro usb charging cable	3	electronics
b0013frnkg_version_3_how is operating system	fair price.	4	electronics
b0013frnkg_version_3_how is operating system	bunk soldering and missing screws.	1	electronics
b0013frnkg_version_3_how is operating system	iPad	5	electronics
b0013frnkg_version_3_how is operating system	lightning cable	1	electronics
b0013frnkg_version_3_how is operating system	perfect	5	electronics
b0013frnkg_version_3_how is operating system	Excellent!	5	electronics
b0013frnkg_version_3_how is operating system	speaker is blown	1	electronics
b0013frnkg_version_3_how is operating system	ipad	3	electronics
b0013frnkg_version_3_how is operating system	Tablet	4	electronics
b0013frnkg_version_3_how is operating system	the metallic back was slightly dented.	1	electronics
b0013frnkg_version_3_how is operating system	It comes safely sealed in custom made protective bubble wrap,	5	electronics
b0013frnkg_version_3_how is operating system	Good thank.	4	electronics
b0013frnkg_version_3_how is operating system	very happy this tablet	5	electronics
b0013frnkg_version_3_how is operating system	wifi only.	4	electronics
b0013frnkg_version_3_how is operating system	device charger	1	electronics
b0013frnkg_version_3_how is operating system	It takes longer to open up than my older version.	4	electronics
b0013frnkg_version_3_how is operating system	iPad	1	electronics
b0013frnkg_version_3_how is operating system	LOCKED.	1	electronics
b0013frnkg_version_3_how is operating system	control button	2	electronics
b0013frnkg_version_3_how is operating system	iPad!	5	electronics
b0013frnkg_version_3_how is operating system	ipad...	4	electronics
b0013frnkg_version_3_how is operating system	Works great!	5	electronics
b0013frnkg_version_3_how is operating system	everything is good	4	electronics
b0013frnkg_version_3_how is operating system	Works well.	5	electronics
b0013frnkg_version_3_how is operating system	iPad	5	electronics
b0013frnkg_version_3_how is operating system	software is outdated	2	electronics
b0013frnkg_version_3_how is operating system	plugged it up to chargend	1	electronics
b0013frnkg_version_3_how is operating system	Battery	1	electronics
b0013frnkg_version_3_how is operating system	(iOS 10).	4	electronics
b0013frnkg_version_3_how is operating system	it has 16%	3	electronics
b0013frnkg_version_3_how is operating system	It does run slowly	4	electronics
b0013frnkg_version_3_how is operating system	no problems with the device	4	electronics
b0013frnkg_version_3_how is operating system	Ipad	4	electronics
b0013frnkg_version_3_how is operating system	Great for everything an iPad	5	electronics
b0013frnkg_version_3_how is operating system	Excelent product.	5	electronics
b0013frnkg_version_3_how is operating system	it was a steal It's brand new and perfect,	5	electronics
b0013frnkg_version_3_how is operating system	dropping on a hard surface.	4	electronics
b0013frnkg_version_3_how is operating system	ipad	1	electronics
b0013frnkg_version_3_how is operating system	Thanks	5	electronics
b0013frnkg_version_3_how is operating system	Good	5	electronics
b0013frnkg_version_3_how is operating system	Camera isn't all that good unless your outdoors in a natural lighting.	4	electronics
b0013frnkg_version_3_how is operating system	IPad	1	electronics
b0013frnkg_version_3_how is operating system	64 GB	4	electronics
b0013frnkg_version_3_how is operating system	It stopped working after a couple of month of little use	1	electronics
b0013frnkg_version_3_how is operating system	No scratches on the outside and working great as I expected,	5	electronics
b0013frnkg_version_3_how is operating system	purfecly working.	5	electronics
b0013frnkg_version_3_how is operating system	Very nice	5	electronics
b0013frnkg_version_3_how is operating system	with an App	5	electronics
b0013frnkg_version_3_how is operating system	It was a gift - she loved it.	5	electronics
b0013frnkg_version_3_how is operating system	Excellent	5	electronics
b0013frnkg_version_3_how is operating system	change the covers	5	electronics
b0013frnkg_version_3_how is operating system	Product is awesome.	5	electronics
b0013frnkg_version_3_how is operating system	happy	5	electronics
b0013frnkg_version_3_how is operating system	netter	5	electronics
b0013frnkg_version_3_how is operating system	home button,	1	electronics
b0013frnkg_version_3_how is operating system	it works	5	electronics
b0013frnkg_version_3_how is operating system	this works great.	4	electronics
b0013frnkg_version_3_how is operating system	Tablet works perfectly.	5	electronics
b0013frnkg_version_3_how is operating system	All that shows up is the time when you turn it on.	1	electronics
b0013frnkg_version_3_how is operating system	IPAD	4	electronics
b0013frnkg_version_3_how is operating system	Excellent condition	5	electronics
b0013frnkg_version_3_how is operating system	works fine	5	electronics
b0013frnkg_version_3_how is operating system	if I kept it plugged in.	2	electronics
b0013frnkg_version_3_how is operating system	logic board	1	electronics
b0013frnkg_version_3_how is operating system	flickering back the the home screen	1	electronics
b0013frnkg_version_3_how is operating system	iPad	1	electronics
b0013frnkg_version_3_how is operating system	iPad Air 2.	5	electronics
b0013frnkg_version_3_how is operating system	backup device	5	electronics
b0013frnkg_version_3_how is operating system	Incredibly slow machine.	2	electronics
