type,with_opinion_extraction,summarization_model,summary,notes,input_data_file
all-reviews,no,copycat,"i would recommend it to anyone <E>. i would recommend it to anyone looking for a good quality product <E>. it was not compatible with my ipad .. thank you <E>. it was a gift for my son and he loves it .. great case for the price you can 't go wrong with this case it is a good buy and worth it <E>. this is a great tablet , i love it , i recommend it to anyone who is looking for a tablet <E>. the product arrived on time and in good condition .",minimum length sentences,dataset/all-reviews.csv
rating1,no,copycat,"i returned it <E>. i would recommend it to anyone looking for a ipad <E>. not worth the money i paid for it , don 't waste your money on this piece of junk <E>. i would recommend this product to anyone .. i have used this product for several months now and i have not had any problems with it .. it does what it says it will do , but it does not work well with the ipad .. ipad air is a bit slow , but not worth the effort to return it , i will be returning it .. tried to use it to connect my ipad to my ipad and it didn 't work well for the price <E>. it was a gift for my daughter and she loves it , she can 't wait to give it to her <E>. product arrived on time and was exactly what i expected it to be .",minimum length sentences,dataset/rating1.csv
rating2,no,copycat,,minimum length sentences,dataset/rating2.csv
rating3,no,copycat,"the pad is a bit flimsy , but it does the job of protecting the ipad .. worked like a charm and it was easy to set up and it worked great for the price paid <E>. i would not recommend this to anyone .. i recommend this product <E>. easy to set up and use .",minimum length sentences,dataset/rating3.csv
rating4,no,copycat,"it is a good product , i like the fact that it is compatible with my ipad and the ipad .. works well for me <E>. i would recommend it to anyone who wants an ipad .. it is a great case for the price i paid for it .. she loves it <E>. i would not recommend this product to anyone .. i wish i had read the reviews before i bought it , but now i have to return it .. it is what i expected it to be a good buy for the price you can 't go wrong <E>. easy to use , easy to set up and use .. it does what it says it will do , but it is not compatible with windows 7 <UNK> .",minimum length sentences,dataset/rating4.csv
rating5,no,copycat,"this is my first ipad and i have never had any problems with it so far i love it ! <E>. i would recommend this to anyone who wants to use their ipad ! <E>. this is a great product for the price i paid for it .. my wife loves it , she uses it all the time and it is easy to set up and use <E>. muy buena compra para mi esposa le <UNK> es muy buena calidad del <UNK> es una gran <UNK> para <UNK> <E>. i would recommend it to anyone looking for a gift <E>. i would recommend it to anyone who wants a tablet for their tablet .. very easy to use and easy to use. only wish it had a little bit more space for my ipad <E>. i have been using this product for about a month now and have been very pleased with it .",minimum length sentences,dataset/rating5.csv
how_is_display,yes,copycat,"this is a great graphics card for the price i would recommend it to anyone looking for. i recommend this to anyone who want to. i have been using apple products for years and have never been able to find them anywhere. the touch screen is a great touch screen protector , but the screen protector is a bit. screen is clear , but the volume control is not clear and the volume button is too. product arrived on time and in perfect condition <UNK> touch screen protector is a nice touch screen. the ipad screen is a great addition to the <UNK> of the steve madden <UNK> and the. el producto llego en perfectas condiciones y el precio es muy buena calidad del producto es excelente. purchased for my wife for her birthday gift , she loved it and have enjoyed using it. fast delivery , good price for the quality of the product , i recommend it to anyone. the sound quality of sound are great , but be careful not to use. the keyboard works great , but the keyboard is not compatible with windows 7. it is a good product , but the instructions are confusing to follow the instructions on how. works great on my <UNK> recommend to anyone who want to know what to do business with. what to expect from a cover to protect the software , but it does not work with",maximum length sentences,dataset/aspect-wise-with-opinion-extraction/how_is_camera/3.csv
how_is_wireless_connection,yes,copycat,"the ipad mini drive storage is the best storage space i have ever owned , but. product arrived on time and in excellent condition , as described by seller , <UNK> ,. este producto llego en perfectas condiciones sin ningun tipo de excelente calidad de lo que se. points. have not used yet use yet be able to tell the difference between <UNK> and. retina display is a bit slower than i expected , but it works fine. i have not had any problems with. the ipad screen is a great touch screen protector , but have not been able to. love <UNK> recommend this product to anyone who want to use their own <UNK> buy <UNK>. the sound quality of this tablet is excellent , it is easy to connect to the. excellent product for a great price , fast delivery , fast service and fast delivery service. used it to connect to my go to watch movies and play games on the go. i have used this product for a while and it still work great , i have. the battery charger works fine , but have not been able to charge the charge <UNK>. it was exactly what i expected it to be and works great , i would recommend. gift for my daughter , she loved it , she said she will be able to",maximum length sentences,dataset/aspect-wise-with-opinion-extraction/how_is_wireless_connection/3.csv
how_is_battery,yes,copycat,"loved it , bought it for my nephew birthday present for his birthday present. screen protector is a nice touch screen protector , but the screen is not clear enough. i would recommend this product to anyone who want to use a stand on their own. faster than expected to be able to tell the difference between the <UNK> and. ipad is a great product for the price paid , but not for the best price. i have used this card for several years now and have never had any problems with. the sd card slot is not compatible with windows 7 <UNK> to be compatible with <UNK>. what else can be said about this product , but be aware of <UNK>. excellent product for the price. it is easy to install and use. dont know. the calculator function are not compatible with windows 7 <UNK> do not waste your time or. este producto es que decir que se puede decir que <UNK> el precio <UNK> para <UNK>. used to be able to find a replacement warranty replacement warranty repair warranty repair. power supply power supply is a good replacement for the original charger , but. product arrived on time and in good condition , no damage to damage the screen protector. excellent product for the price , i recommend it to anyone looking for a great product. the maps are easy to follow directions to follow instructions , follow directions instructions. unusable. don 't waste your money on this tablet , spend a bit more money ,. best camera i have ever owned , i recommend it to anyone interested in",maximum length sentences,dataset/aspect-wise-with-opinion-extraction/how_is_battery/3.csv
how_is_operating_system,yes,copycat,"be careful not to use touch screen protector , but do not recommend to try to buy. excellent product for the price of <UNK> recommend highly recommend to anyone who want to use their. the sound quality is not the greatest but the sound is not as good as the picture. product arrived on time and in good condition as described by <UNK> recommend it to anyone who. purchased to go with my own touch note 10.1 , but have not been able to find. it is a good product for the price , but it does not work well on the. i would recommend this product to anyone who. el producto es una buena calidad , se puede decir que decir que se puede guardar las. easy to use , easy to install , and the price is unbeatable , i recommend it. love it ! i have been using it for over a year now and have never been. great buy for the price you get what you pay for <UNK> what else do you want. purchased as a gift for my daughter <UNK> she loved her gift , she loved , love. i am very pleased with purchase of this ipad , but have not been able to find. used to be able to use my own memory cards , but have had no problems with. battery does not hold charge for long periods of time and the battery will not stay connected",maximum length sentences,dataset/aspect-wise-with-opinion-extraction/how_is_operating_system/3.csv
