group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it looked fine, just slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	opened it up and saw some bunk soldering and missing screws.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	screen protector on it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the ipad takes the old school	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the speaker is blown	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	a different device charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it was supposed to have been double checked.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	locked by este lauder	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	wrote to the times and i have had no reply.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	disappointing!!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it doesn't work.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	battery dies after about minutes of use. after charging	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	broke weeks later	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	not working older model not worth even	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	i sent it back.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	terrible just terrible	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it stopped working	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	issuing a hard-reset,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	never buy used items	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	different charging cords,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the time when you turn it on.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	andise.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it's not what was advertised.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it can't even open safari	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	glitchy computer. not worth the purchase. im returning it.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	garageband app	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	both amazon and excellent products did not back up there	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	defective.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	super slow and freezes all the time.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	just trash.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	major rip off!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	a cracked screen,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	repair center,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	dolars.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	either the charging port or the battery is not working.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the ipad displayed the white apple icon	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	two ipads.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the screen is black.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	damaged without proper cable	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	product stopped working	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it freezes all the time.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it has black screen	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	new as advertised.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	same price !!!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	has already stopped working.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad broken screen	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	total disappointment	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	obsolete.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	all scratched up	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	grainy	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	not all the mentioned features are working/good.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it was a rip off!	1	electronics
