group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad and will probably get the ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	it's really lighter	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	the battery still holds a c	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	the screen is more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	what you have missed out on.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	amazon	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	a tablet	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	increased ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	android	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	battery life. from full to dead my ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	android tablets	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	standalone storage device	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	android.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	greatly expand the native capability	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	battery gets - hours on a charge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	if you're a heavy web video user.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	the screen is supposedly oleophobic	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is operating system	ipad	4	electronics
