group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad and will probably get the ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it's really lighter than the xoom,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the battery still holds a c	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	what you have missed out on.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tapered edge	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tapered edge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	native multi-tasking support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	gyroscope	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	battery life.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	dedicated usb support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	dedicated sd card slot.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	storage. i purchased a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	adapters for usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	expand the native capability	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it looks great and has never crashed or had a framerate stutter.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	battery gets - hours on a charge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	adding html video.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	external storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	$+?	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the ipad itself created.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	very good sound.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tapered edge	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tapered edge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the glass is thinner	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	magnetic sensors in the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	battery life.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	reading itself	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	no option for mass storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	lack of expansion	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tablets	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	very clean	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	blurry picture and freezes often	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	my ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	working very well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	they were in awesome condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it looked fine, just slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	micro usb charging cable	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	charger port died after two months and when i tried to fix it,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it serves me well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	google	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	nice hard case i love it it was a cheap price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the ipad takes the old school	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it does occasionally freeze,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	perfect	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the speaker is blown so we have to replace it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	the camera quality is horrible.	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	tablet works great.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ridiculous!!	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	superior product	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	. ghz and mb of ram.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	battery life of ten hours,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	custom made protective bubble wrap,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it is a bit slow but nothing unexpected.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	excellent condition.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	good thank.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	very happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	works great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	a different device charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it takes longer to open up than my older version.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	double checked.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	they loved it.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	locked by este lauder	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	great little unit for the price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	wrote to the times and i have had no reply.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	extremely slow for a gb	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	love my ipad!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	very quickly-	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	good ipad...	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it's a good purchase.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	fantastic value and my wife loves it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	happy happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	works great!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	everything is good	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	nice deal.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it is still working well! he uses it daily.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	perfect condition for a used item. i'm very pleased.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it looked brand new(not	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	disappointing!!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	screen	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	home button	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it doesn't work.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	a great investment	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	battery	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it would not connect to internet	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	its dinged up	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it does run slowly	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	no problems with the device	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	looks new out of the box, no problems. great for everything an ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	broke weeks later	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	excelent product.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it still works till this day!! i love how durable	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	through dropping on a hard surface.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	it was a used one sold as new??	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	not working older model	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	thanks	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	terrible just terrible	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is memory	great service and a quality product.	5	electronics
