group_id	review_text	rating	category
b0013frnkg_version_1_how is display	iTunes	4	electronics
b0013frnkg_version_1_how is display	sleekness	4	electronics
b0013frnkg_version_1_how is display	Retina Display	4	electronics
b0013frnkg_version_1_how is display	o HD viewing.	4	electronics
b0013frnkg_version_1_how is display	amazed	4	electronics
b0013frnkg_version_1_how is display	16 gig wifi	4	electronics
b0013frnkg_version_1_how is display	this review is for you.	4	electronics
b0013frnkg_version_1_how is display	app availability.	4	electronics
b0013frnkg_version_1_how is display	Android market is making a strong showing,	4	electronics
b0013frnkg_version_1_how is display	the screen at half brightness, wifi turned on,	4	electronics
b0013frnkg_version_1_how is display	color display	4	electronics
b0013frnkg_version_1_how is display	remote desktop, second screen,	4	electronics
b0013frnkg_version_1_how is display	flash menus,	4	electronics
b0013frnkg_version_1_how is display	slideshow	4	electronics
b0013frnkg_version_1_how is display	video on external monitors, projectors, or TVs with it,	4	electronics
b0013frnkg_version_1_how is display	Adobe Flash,	4	electronics
b0013frnkg_version_1_how is display	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_1_how is display	Camera for facetime and web.	5	electronics
b0013frnkg_version_1_how is display	this review is for you.	4	electronics
b0013frnkg_version_1_how is display	The screen is the same for all real purposes.	4	electronics
b0013frnkg_version_1_how is display	Multitasking Support	4	electronics
b0013frnkg_version_1_how is display	showing off.	4	electronics
b0013frnkg_version_1_how is display	app availability.	4	electronics
b0013frnkg_version_1_how is display	strong showing,	4	electronics
b0013frnkg_version_1_how is display	the screen at half brightness,	4	electronics
b0013frnkg_version_1_how is display	"""find my iphone"""	1	electronics
b0013frnkg_version_1_how is display	Blurry picture and freezes	3	electronics
b0013frnkg_version_1_how is display	IPAD	5	electronics
b0013frnkg_version_1_how is display	ipad 2!	5	electronics
b0013frnkg_version_1_how is display	iPad	5	electronics
b0013frnkg_version_1_how is display	This item	1	electronics
b0013frnkg_version_1_how is display	Great product. Fast delivery!	5	electronics
b0013frnkg_version_1_how is display	Amazing	5	electronics
b0013frnkg_version_1_how is display	It did come engraved with some business guys name and his title on it	5	electronics
b0013frnkg_version_1_how is display	IPad,	1	electronics
b0013frnkg_version_1_how is display	micro usb charging cable for an Iphone or mini iPad	3	electronics
b0013frnkg_version_1_how is display	bunk soldering and missing screws.	1	electronics
b0013frnkg_version_1_how is display	iPad	5	electronics
b0013frnkg_version_1_how is display	screen protector	1	electronics
b0013frnkg_version_1_how is display	clicking sound, like there is a gap in between the glass and metal.	1	electronics
