group_id	review_text	rating	category
b0013frnkg_version_3_how is battery	lighter	4	electronics
b0013frnkg_version_3_how is battery	the battery still h	4	electronics
b0013frnkg_version_3_how is battery	16 gig wifi	4	electronics
b0013frnkg_version_3_how is battery	thin.	4	electronics
b0013frnkg_version_3_how is battery	The cameras do a substantially better job with video,	4	electronics
b0013frnkg_version_3_how is battery	RAM	4	electronics
b0013frnkg_version_3_how is battery	gyroscope	4	electronics
b0013frnkg_version_3_how is battery	Battery Life.	4	electronics
b0013frnkg_version_3_how is battery	wifi turned on,	4	electronics
b0013frnkg_version_3_how is battery	Android.	4	electronics
b0013frnkg_version_3_how is battery	alarm clocks,	4	electronics
b0013frnkg_version_3_how is battery	8-10 hours on a charge,	4	electronics
b0013frnkg_version_3_how is battery	screen protector like the ZAGG InvisibleShield	4	electronics
b0013frnkg_version_3_how is battery	iPad	4	electronics
b0013frnkg_version_3_how is battery	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_3_how is battery	thin.	4	electronics
b0013frnkg_version_3_how is battery	Glass	4	electronics
b0013frnkg_version_3_how is battery	magnetic	4	electronics
b0013frnkg_version_3_how is battery	RAM	4	electronics
b0013frnkg_version_3_how is battery	gyroscope	4	electronics
b0013frnkg_version_3_how is battery	Battery Life.	4	electronics
b0013frnkg_version_3_how is battery	requires an adapter.	4	electronics
b0013frnkg_version_3_how is battery	Flash driven	4	electronics
b0013frnkg_version_3_how is battery	iPad	1	electronics
b0013frnkg_version_3_how is battery	tablets	5	electronics
b0013frnkg_version_3_how is battery	Blurry picture and freezes	3	electronics
b0013frnkg_version_3_how is battery	IPAD	5	electronics
b0013frnkg_version_3_how is battery	ipad 2!	5	electronics
b0013frnkg_version_3_how is battery	iPad	5	electronics
b0013frnkg_version_3_how is battery	still working very well.	5	electronics
b0013frnkg_version_3_how is battery	Fast delivery!	5	electronics
b0013frnkg_version_3_how is battery	Amazing	5	electronics
b0013frnkg_version_3_how is battery	minor scratches	4	electronics
b0013frnkg_version_3_how is battery	charger	5	electronics
b0013frnkg_version_3_how is battery	Very pleased shipped very fast	5	electronics
b0013frnkg_version_3_how is battery	awesome condition	5	electronics
b0013frnkg_version_3_how is battery	This product was in better condition	5	electronics
b0013frnkg_version_3_how is battery	micro usb charging cable	3	electronics
b0013frnkg_version_3_how is battery	iPad	5	electronics
b0013frnkg_version_3_how is battery	screen protector	1	electronics
b0013frnkg_version_3_how is battery	lightning cable	1	electronics
b0013frnkg_version_3_how is battery	perfect	5	electronics
b0013frnkg_version_3_how is battery	Excellent!	5	electronics
b0013frnkg_version_3_how is battery	super duper sllllloooowww and heavy	3	electronics
b0013frnkg_version_3_how is battery	iPad	1	electronics
b0013frnkg_version_3_how is battery	camera quality is horrible.	3	electronics
b0013frnkg_version_3_how is battery	Tablet	4	electronics
b0013frnkg_version_3_how is battery	metallic back was slightly dented.	1	electronics
b0013frnkg_version_3_how is battery	Battery Life,	5	electronics
b0013frnkg_version_3_how is battery	excellent	5	electronics
b0013frnkg_version_3_how is battery	custom made protective bubble wrap,	5	electronics
b0013frnkg_version_3_how is battery	Ipad	5	electronics
b0013frnkg_version_3_how is battery	Good thank.	4	electronics
b0013frnkg_version_3_how is battery	tablet	5	electronics
b0013frnkg_version_3_how is battery	it just had one little scratch to the back.	5	electronics
b0013frnkg_version_3_how is battery	It comes with a different device charger	1	electronics
b0013frnkg_version_3_how is battery	It takes longer to open up than my older version.	4	electronics
b0013frnkg_version_3_how is battery	iPad	1	electronics
b0013frnkg_version_3_how is battery	LOCKED.	1	electronics
b0013frnkg_version_3_how is battery	slow for a 32 gb	2	electronics
b0013frnkg_version_3_how is battery	iPad!	5	electronics
b0013frnkg_version_3_how is battery	charger!!!	1	electronics
b0013frnkg_version_3_how is battery	ipad...	4	electronics
b0013frnkg_version_3_how is battery	small drive.	5	electronics
b0013frnkg_version_3_how is battery	it's a good purchase.	5	electronics
b0013frnkg_version_3_how is battery	Works great!	5	electronics
b0013frnkg_version_3_how is battery	everything is good	4	electronics
b0013frnkg_version_3_how is battery	Works well.	5	electronics
b0013frnkg_version_3_how is battery	iPad was PERFECT! It looked Brand new(not	5	electronics
b0013frnkg_version_3_how is battery	Home button	2	electronics
b0013frnkg_version_3_how is battery	plugged it up to chargend	1	electronics
b0013frnkg_version_3_how is battery	This as been a great investment	5	electronics
b0013frnkg_version_3_how is battery	dies	1	electronics
b0013frnkg_version_3_how is battery	iPad 2	4	electronics
b0013frnkg_version_3_how is battery	It works	3	electronics
b0013frnkg_version_3_how is battery	It does run slowly	4	electronics
b0013frnkg_version_3_how is battery	no problems with the device	4	electronics
b0013frnkg_version_3_how is battery	Ipad	4	electronics
b0013frnkg_version_3_how is battery	Great for everything an iPad	5	electronics
b0013frnkg_version_3_how is battery	Excelent product.	5	electronics
b0013frnkg_version_3_how is battery	it was a steal It's brand new and perfect,	5	electronics
b0013frnkg_version_3_how is battery	dropping on a hard surface.	4	electronics
b0013frnkg_version_3_how is battery	GIFT	4	electronics
b0013frnkg_version_3_how is battery	ipad	1	electronics
b0013frnkg_version_3_how is battery	Good	5	electronics
b0013frnkg_version_3_how is battery	Camera isn't all that good unless your outdoors in a natural lighting.	4	electronics
b0013frnkg_version_3_how is battery	IPad	1	electronics
b0013frnkg_version_3_how is battery	great product.	5	electronics
b0013frnkg_version_3_how is battery	it's an older model, with the 64 GB	4	electronics
b0013frnkg_version_3_how is battery	It stopped working after a couple of month of little use	1	electronics
b0013frnkg_version_3_how is battery	No scratches on the outside and working great as I expected,	5	electronics
b0013frnkg_version_3_how is battery	purfecly working.	5	electronics
b0013frnkg_version_3_how is battery	Very nice	5	electronics
b0013frnkg_version_3_how is battery	with an App	5	electronics
b0013frnkg_version_3_how is battery	It was a gift	5	electronics
b0013frnkg_version_3_how is battery	by either contacting the previous owner	1	electronics
b0013frnkg_version_3_how is battery	iPad	1	electronics
b0013frnkg_version_3_how is battery	Excellent	5	electronics
b0013frnkg_version_3_how is battery	great	5	electronics
b0013frnkg_version_3_how is battery	change the covers	5	electronics
b0013frnkg_version_3_how is battery	iPad	1	electronics
b0013frnkg_version_3_how is battery	Product is awesome.	5	electronics
