group_id	review_text	rating	category
b0013frnkg_distilbert_version_3_how is quality of speaker	Seemless.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	Face Time support.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	more bright and crisp	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	amazed	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	much cheaper	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	positively and negatively)	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	difference	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	incredibly easy to use	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	more akin to showing off.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	app availability.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	minimal weight	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	definitely a Pro,	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	all usually about the same).	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	troublesome	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	Flash driven	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	impressive	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	they aren't as convenient	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	adept	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	greatly expand the native capability	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	great	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	3G	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	Annoying.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	extremely irritating.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	terrible quality	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	camera usage.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	"It always seems to correct ""its"" to ""it's"","	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	can't easily use external storage.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	fit and work great,	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	perfectly compatible with the iPad.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	lack of many features	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	slick, entertaining	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	to replace anything you already have; the iPad	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	Great Quality, very good speed.	5	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	positively and negatively)	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	difference	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	it's the same resolution.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	thinner	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	incredibly easy to use	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	it's more akin to showing off.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	app availability.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	minimal weight	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	definitely a Pro,	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	troublesome	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	far exceeds its current competitors.	4	electronics
b0013frnkg_distilbert_version_3_how is quality of speaker	Love	5	electronics
