group_id	review_text	rating	category
b0013frnkg_version_2_distilbert_how is camera	it's really lighter than the XOOM,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Face Time support.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	the screen is more bright and crisp	4	electronics
b0013frnkg_version_2_distilbert_how is camera	what you have missed out on.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	16 gig	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Amazon	4	electronics
b0013frnkg_version_2_distilbert_how is camera	tapered edge	4	electronics
b0013frnkg_version_2_distilbert_how is camera	holding the iPad in my hands	4	electronics
b0013frnkg_version_2_distilbert_how is camera	2	4	electronics
b0013frnkg_version_2_distilbert_how is camera	dedicated digital camera,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	doubling as a screen protector and stand in 2 configurations.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	iPad 1,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	the screen at half brightness,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	add-on	4	electronics
b0013frnkg_version_2_distilbert_how is camera	you have to have an adapter	4	electronics
b0013frnkg_version_2_distilbert_how is camera	No Flash Support.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	iPad	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Android.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	remote apps for cable boxes and disc players,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	It looks great	4	electronics
b0013frnkg_version_2_distilbert_how is camera	battery gets 8-10 hours on a charge,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	iPad.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	printers	4	electronics
b0013frnkg_version_2_distilbert_how is camera	The cameras are terrible quality	4	electronics
b0013frnkg_version_2_distilbert_how is camera	digital camera	4	electronics
b0013frnkg_version_2_distilbert_how is camera	virtual keyboard	4	electronics
b0013frnkg_version_2_distilbert_how is camera	the iPad	4	electronics
b0013frnkg_version_2_distilbert_how is camera	directly without having to use iTunes,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	rear	4	electronics
b0013frnkg_version_2_distilbert_how is camera	iTunes.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Quicktime format.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	$500+?	4	electronics
b0013frnkg_version_2_distilbert_how is camera	it's a slick, entertaining device,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Camera for facetime and web.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Amazon	4	electronics
b0013frnkg_version_2_distilbert_how is camera	holding the iPad in my hands	4	electronics
b0013frnkg_version_2_distilbert_how is camera	2	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Jetson's TV/Phone.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	doubling as a screen protector and stand in 2 configurations.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	increased RAM	4	electronics
b0013frnkg_version_2_distilbert_how is camera	The new cameras will undoubtedly see this list expand rapidly,	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Battery Life.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	add-on	4	electronics
b0013frnkg_version_2_distilbert_how is camera	an ada	4	electronics
b0013frnkg_version_2_distilbert_how is camera	32GB iPad	4	electronics
b0013frnkg_version_2_distilbert_how is camera	additional purchases for features that some tablets offer built in.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	adapters for USB/SD/HDMI.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	Love	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Best tablets on the market.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Very clean	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Blurry picture	3	electronics
b0013frnkg_version_2_distilbert_how is camera	my IPAD	5	electronics
b0013frnkg_version_2_distilbert_how is camera	ipad 2!	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Good use for iPad	5	electronics
b0013frnkg_version_2_distilbert_how is camera	anymore,there is no hope to ever upgrade it	1	electronics
b0013frnkg_version_2_distilbert_how is camera	She loves it.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	working very well.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Fast delivery!	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Amazing	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Works as stated, has minor scratches	4	electronics
b0013frnkg_version_2_distilbert_how is camera	shipped very fast	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Camera works great	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Christmas gifts	5	electronics
b0013frnkg_version_2_distilbert_how is camera	the charger	5	electronics
b0013frnkg_version_2_distilbert_how is camera	in better condition	5	electronics
b0013frnkg_version_2_distilbert_how is camera	IPad,	1	electronics
b0013frnkg_version_2_distilbert_how is camera	working condition.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	a micro usb charging cable	3	electronics
b0013frnkg_version_2_distilbert_how is camera	fair price.	4	electronics
b0013frnkg_version_2_distilbert_how is camera	charger port died after two months and when i tried to fix it,	1	electronics
b0013frnkg_version_2_distilbert_how is camera	It serves me well.	5	electronics
b0013frnkg_version_2_distilbert_how is camera	on our dining table	5	electronics
b0013frnkg_version_2_distilbert_how is camera	Didn't meet my needs	4	electronics
b0013frnkg_version_2_distilbert_how is camera	a screen protector on it	1	electronics
