group_id	review_text	rating	category
b0013frnkg_version_1_how is brand	amazed	4	electronics
b0013frnkg_version_1_how is brand	16 gig wifi	4	electronics
b0013frnkg_version_1_how is brand	I don't own Apple Stock,	4	electronics
b0013frnkg_version_1_how is brand	oment is app availability.	4	electronics
b0013frnkg_version_1_how is brand	Weight.	4	electronics
b0013frnkg_version_1_how is brand	relatively unbiased	4	electronics
b0013frnkg_version_1_how is brand	subtracts a star from my rating).	4	electronics
b0013frnkg_version_1_how is brand	I don't own Apple Stock,	4	electronics
b0013frnkg_version_1_how is brand	in a variety of colors and from third market suppliers,	4	electronics
b0013frnkg_version_1_how is brand	competitor,	4	electronics
b0013frnkg_version_1_how is brand	showing off.	4	electronics
b0013frnkg_version_1_how is brand	app availability.	4	electronics
b0013frnkg_version_1_how is brand	signed in to previous owner's icloud account	1	electronics
b0013frnkg_version_1_how is brand	Best tablets on the market.	5	electronics
b0013frnkg_version_1_how is brand	Great product. Fast delivery!	5	electronics
b0013frnkg_version_1_how is brand	Amazing	5	electronics
b0013frnkg_version_1_how is brand	his title	5	electronics
b0013frnkg_version_1_how is brand	Looks brand new.	5	electronics
b0013frnkg_version_1_how is brand	pleasantly surprised!	5	electronics
b0013frnkg_version_1_how is brand	worn.	1	electronics
b0013frnkg_version_1_how is brand	fair price.	4	electronics
b0013frnkg_version_1_how is brand	answer questions that [always!] arise during dinnertime conversations.	5	electronics
b0013frnkg_version_1_how is brand	perfect	5	electronics
b0013frnkg_version_1_how is brand	Excellent!	5	electronics
b0013frnkg_version_1_how is brand	super duper sllllloooowww and heavy	3	electronics
b0013frnkg_version_1_how is brand	iPad for our son.	1	electronics
b0013frnkg_version_1_how is brand	Good vendor.	5	electronics
b0013frnkg_version_1_how is brand	Looks brand new	5	electronics
b0013frnkg_version_1_how is brand	Tablet works great.	4	electronics
b0013frnkg_version_1_how is brand	amazon!	1	electronics
b0013frnkg_version_1_how is brand	ridiculous!!	2	electronics
b0013frnkg_version_1_how is brand	Superior	5	electronics
b0013frnkg_version_1_how is brand	In excellent condition.	4	electronics
b0013frnkg_version_1_how is brand	Good thank.	4	electronics
b0013frnkg_version_1_how is brand	Works great	5	electronics
b0013frnkg_version_1_how is brand	It takes longer to open up than my older version.	4	electronics
b0013frnkg_version_1_how is brand	great rate.	1	electronics
b0013frnkg_version_1_how is brand	slow	2	electronics
b0013frnkg_version_1_how is brand	Apple user,	5	electronics
b0013frnkg_version_1_how is brand	Works great!	5	electronics
b0013frnkg_version_1_how is brand	everything is good	4	electronics
b0013frnkg_version_1_how is brand	iPad was PERFECT! It looked Brand new(not	5	electronics
b0013frnkg_version_1_how is brand	This as been a great investment	5	electronics
b0013frnkg_version_1_how is brand	iPad 2 is not compatible with the current operating system (iOS 10).	4	electronics
b0013frnkg_version_1_how is brand	Ipad	4	electronics
b0013frnkg_version_1_how is brand	Excelent product.	5	electronics
b0013frnkg_version_1_how is brand	brand new and perfect,	5	electronics
b0013frnkg_version_1_how is brand	through dropping on a hard surface.	4	electronics
b0013frnkg_version_1_how is brand	GIFT	4	electronics
b0013frnkg_version_1_how is brand	Good	5	electronics
b0013frnkg_version_1_how is brand	Camera	4	electronics
b0013frnkg_version_1_how is brand	IPad	1	electronics
b0013frnkg_version_1_how is brand	great product.	5	electronics
b0013frnkg_version_1_how is brand	Works as advertised.	3	electronics
b0013frnkg_version_1_how is brand	purfecly working.	5	electronics
b0013frnkg_version_1_how is brand	Very nice	5	electronics
b0013frnkg_version_1_how is brand	Excellent	5	electronics
b0013frnkg_version_1_how is brand	great	5	electronics
b0013frnkg_version_1_how is brand	change the covers each year	5	electronics
b0013frnkg_version_1_how is brand	awesome.	5	electronics
b0013frnkg_version_1_how is brand	excellent seller, great product.	5	electronics
b0013frnkg_version_1_how is brand	happy with its operation.	5	electronics
b0013frnkg_version_1_how is brand	Amazing item. Work great.	5	electronics
b0013frnkg_version_1_how is brand	netter	5	electronics
b0013frnkg_version_1_how is brand	it works	5	electronics
b0013frnkg_version_1_how is brand	Great purchase	5	electronics
b0013frnkg_version_1_how is brand	this works great.	4	electronics
b0013frnkg_version_1_how is brand	Ok product	4	electronics
