group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	xoom,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	battery still holds a c	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	what you have missed out on.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	amazon	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	tablet	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	cameras	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	magnetic sensors in the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	native multi-tasking support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	battery life. from full to dead my ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	usb support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	adapters for usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	android.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	cable boxes and disc players,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	app store first. the only difference i've seen with the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	battery gets - hours on a charge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	wi-fi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	airprint service and then configure printer sharing options on my network,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	adding html video.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	digital camera	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	external	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	can't easily use external storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	transferring to ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	camera for facetime and web.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	laptop	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	cameras	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	magnetic sensors	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	battery life.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	usb support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	adapter.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	tablets on the market.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	blurry picture and freezes	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	working	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	has minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	charger	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	camera	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	they were in awesome condition when we received them.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	charger	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	the charger would not fit inside the port.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	micro usb charging cable	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	product as described and fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	charger port died after two months and when i tried to fix it,	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	google	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	screen protector on it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	iam glad i brought it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	lightning cable	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	cable	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	the speaker is blown	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	camera quality is horrible. just save and buy a new ipad	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	in a heartbeat!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	tablet	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	took to long for shipment	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	amazon!	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	laptop.	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	ing a month (christmas present) is ridiculous!!	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	superior product and still is, years later!!!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is wireless connection	synced on the same cloud.	5	electronics
