group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	seemless.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	sleekness of the device which is cool,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	amazed	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	much cheaper	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	positively and negatively)	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	difference	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	substantially better job with video,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	incredibly easy to use	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	minimal weight	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	definitely a pro,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	capacity	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	they're exciting and new,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	convenient	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	relatively unbiased	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	adept	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	greatly expand the native capability	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	great	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	g	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	annoying.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	heavy web video user.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	oleophobic	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	terrible quality	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	apparently they work reasonably well.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	terrible at file storage	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	fit and work great,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	annoying	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	slick, entertaining device,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	market that the ipad itself created.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	great quality, very good speed.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	difference	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	substantially better job with video,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	incredibly easy to use	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	more akin to showing off.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	e moment is app availability.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	minimal weight	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	pro,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	they aren't as convenient	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	best tablets on the market.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	very clean product works great!!!!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	blurry picture and freezes often	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	can't go wrong with an ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	still working very well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	highly recommend.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	very pleased	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	perfect!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	awesome condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	brand new.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	great device	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	it serves me well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	cheap price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	the ipad takes the old school kind	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	it does occasionally freeze,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	perfect	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	blown	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	horrible.	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is quality of speaker	quicker	5	electronics
