group_id	review_text	rating	category
b0013frnkg_version_2_distilbert_how is display	lighter than the XOOM,	4	electronics
b0013frnkg_version_2_distilbert_how is display	Retina	4	electronics
b0013frnkg_version_2_distilbert_how is display	the screen is more bright and crisp	4	electronics
b0013frnkg_version_2_distilbert_how is display	what you have missed out on.	4	electronics
b0013frnkg_version_2_distilbert_how is display	16 gig	4	electronics
b0013frnkg_version_2_distilbert_how is display	holding the iPad in my hands	4	electronics
b0013frnkg_version_2_distilbert_how is display	cameras	4	electronics
b0013frnkg_version_2_distilbert_how is display	in 2 configurations.	4	electronics
b0013frnkg_version_2_distilbert_how is display	iPad 1,	4	electronics
b0013frnkg_version_2_distilbert_how is display	increased RAM	4	electronics
b0013frnkg_version_2_distilbert_how is display	the screen at half brightness,	4	electronics
b0013frnkg_version_2_distilbert_how is display	all usually about the same).	4	electronics
b0013frnkg_version_2_distilbert_how is display	you have to have an adapter	4	electronics
b0013frnkg_version_2_distilbert_how is display	No Flash Support.	4	electronics
b0013frnkg_version_2_distilbert_how is display	Flash support.	4	electronics
b0013frnkg_version_2_distilbert_how is display	It looks great	4	electronics
b0013frnkg_version_2_distilbert_how is display	digital camera	4	electronics
b0013frnkg_version_2_distilbert_how is display	virtual keyboard	4	electronics
b0013frnkg_version_2_distilbert_how is display	"It always seems to correct ""its"" to ""it's"","	4	electronics
b0013frnkg_version_2_distilbert_how is display	video on external monitors, projectors, or TVs with it,	4	electronics
b0013frnkg_version_2_distilbert_how is display	iTunes.	4	electronics
b0013frnkg_version_2_distilbert_how is display	Quicktime format.	4	electronics
b0013frnkg_version_2_distilbert_how is display	$500+?	4	electronics
b0013frnkg_version_2_distilbert_how is display	it's a slick, entertaining device,	4	electronics
b0013frnkg_version_2_distilbert_how is display	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_2_distilbert_how is display	holding the iPad in my hands	4	electronics
b0013frnkg_version_2_distilbert_how is display	2 cameras	4	electronics
b0013frnkg_version_2_distilbert_how is display	doubling as a screen protector and stand in 2 configurations.	4	electronics
b0013frnkg_version_2_distilbert_how is display	covers	4	electronics
b0013frnkg_version_2_distilbert_how is display	increased RAM	4	electronics
b0013frnkg_version_2_distilbert_how is display	app availability.	4	electronics
b0013frnkg_version_2_distilbert_how is display	Android	4	electronics
b0013frnkg_version_2_distilbert_how is display	Battery Life.	4	electronics
b0013frnkg_version_2_distilbert_how is display	no dedicated SD card slot.	4	electronics
b0013frnkg_version_2_distilbert_how is display	additional purchases for features that some tablets offer built in.	4	electronics
