group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	have ipad and will probably get the ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	it's really lighter than the xoom,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	size,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	the battery still holds a c	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	amazed	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	tapered edge	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	a tablet device designed to be held,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	graphics processing	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	cameras	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	doubling as a screen protector and stand in configurations.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	native multi-tasking support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	the screen at half brightness,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	dedicated sd card slot.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	storage. i purchased a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	android.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	greatly expand the native capability	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	the app store first. the only difference i've seen with the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	it looks great	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	battery gets - hours on a charge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	pull out my phone than the ipad.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	adding html video.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	can't easily use external storage.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	the rear camera will be covered up.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	$+?	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	very good sound.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	tapered edge	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	tapered edge,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	mb to mb.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	doubling as a screen protector and stand in configurations.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	import pictures from your camera you have to have an adapter	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	r adapters for usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	tablets	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is processor	very clean	5	electronics
