group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	have ipad and will probably get the ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it's really lighter than the xoom,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	retina	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	hd	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	more bright and crisp	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	what you have missed out on.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	increased ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the screen at half brightness,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	they'll have at least some flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the app store first. the only difference i've seen with the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it looks great	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	"a simple google search for ""airprint any printer"""	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	adding html video.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	you can give slideshow presentations or display video on external	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the rear camera will be covered up.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	holding the ipad in my hands	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	cameras	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	cameras	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	doubling as a screen protector	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	increased ram	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the android market is making a strong showing,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	the screen at half brightness,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	websites	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	usb/sd/hdmi.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	best tablets	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	very clean	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	blurry picture and freezes	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	working very well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	everything is perfect!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	christmas gifts	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	in better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	it looked fine, just slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	micro usb charging cable	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	product as described and fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is display	opened it up and saw some bunk soldering and missing screws.	1	electronics
