group_id	review_text	rating	category
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	lighter than the xoom,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a slate.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	amazed	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	apple	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a price point	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it is incredibly easy to use	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	avid outdoor reader	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	standalone storage device	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a gb ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	best buy	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it looks great	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it's a great e-reader for airplane travel,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	pull out my phone than the ipad.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	buying a new printer or an expensive printing app!	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	heavy web video user.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	oleophobic	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	i don't own them,	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	virtual keyboard	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	online cloud file storage service	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	hassle-free.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	warner brothers only offers windows media versions of the harry potter series for digital copy.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a gift.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	the ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	very good sound.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	apple	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	holding the ipad in my hands	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	facetime	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it is incredibly easy to use	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	an app	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	avid outdoor reader	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	no flash support.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	best buy	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	love	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	refund.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	best tablets	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	very clean	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	blurry picture and freezes often	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	my ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	can't go wrong with an ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	good use for ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	anymore,there is no hope to ever upgrade it	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	she loves it.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	working very well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	fast delivery!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	amazing	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	has minor scratches	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	shipped very fast	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	looks brand new!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	christmas gifts	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	awesome price and works perfect. looks brand new.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	better condition	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad, and it looked fine, just slightly worn.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	working condition.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	great device	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	fair price.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it serves me well.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	didn't meet my needs	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipads from them a white one.	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	very bad	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	cheap price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	the ipad takes the old school	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	perfect	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	excellent!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	just save and buy a new ipad	3	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	good vendor.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	brand new no dings, scratches and dents in the product i received.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it was definitely worth buying.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	the ipad	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ridiculous!!	2	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	superior product	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a budget looking for the best compromise between performance and price.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	acts brand new!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	custom made protective bubble wrap,	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it is a bit slow but nothing unexpected. i paid for an older ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	in excellent condition.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	good thank.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	very happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	i use this ipad	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	thank you	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	to slow ok....l think old fashioned	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	wifi	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	works great	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	a different device charger	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it takes longer to open up than my older version.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	as gift.	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	locked by este lauder	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	great little unit for the price	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	wrote to the times	1	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	love my ipad!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	very quickly-	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	good ipad...	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it's a good purchase.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	fantastic value and my wife loves it	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	happy happy	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	works great!	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	everything is good	4	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	nice deal.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	he uses it daily.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	perfect condition for a used item. i'm very pleased.	5	electronics
more_data/b0013frnkg_preprocess_distilbert_version_2_how is brand	it looked brand new(not	5	electronics
