group_id	review_text	rating	category
b0013frnkg_version_2_distilbert_how is wireless connection	XOOM,	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	ue to the size,	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	battery	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	what you have missed out on.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	16 gig	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Amazon	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	laptop	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	tablet	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	256MB	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad 2	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	2 cameras	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	FaceTime	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	magnetic sensors	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad 1,	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	RAM	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	an App	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Battery Life. From full to dead my iPad	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	wifi	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	USB support.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	adapter	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	adapter.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	No Flash Support.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	adapters	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	DMI.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Android.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	FaceTime/Skype	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	cable boxes	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	online play.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Wi-Fi	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Wi-Fi	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	AirPrint service and then configure printer sharing options on my network,	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Flash.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	camera usage.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	virtual keyboard	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	USB or SD card slot,	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iTunes.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Quicktime format.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	turn it on and off	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	to replace anything you already have; the iPad	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Camera for facetime and web.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Amazon	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	laptop	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	tablet	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	256MB	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad 2	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	2 cameras	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	cameras.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	wireless network at the time).	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	magnetic sensors	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	native multi-tasking support.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	RAM	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	app availability.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	get started on one to fill in the gap). The Android	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Battery Life.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	dedicated USB support.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	SD card slot.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	HDMI	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	adapter.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	adapters for USB/SD/HDMI.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Love	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	tablets on the market.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Blurry picture and freezes	3	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	IPAD	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	ipad 2!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Good use for iPad	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	anymore,there is no hope to ever upgrade it	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	5yr old daughter. She loves it.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	working	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Fast delivery!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	has minor scratches	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	charger	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	shipped very fast	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Camera	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	They were in awesome condition when we received them.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	charger	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	the charger would not fit inside the port.	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	working condition.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	micro usb charging cable	3	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Product as described and fair price.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	charger port died after two months and when i tried to fix it,	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Google	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Didn't meet my needs	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	amazon	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Very bad and i will never buy from then again.	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Iam glad I brought it	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	lightning cable	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Excellent!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	cable	3	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	The speaker is blown	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	camera quality is horrible. Just save and buy a new ipad	3	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Good vendor.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	in a heartbeat!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Tablet	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Took to long for shipment	2	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	amazon!	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	laptop.	2	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	ing a month (Christmas present) is ridiculous!!	2	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Superior product and still is, years later!!!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	synced on the same cloud.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	1.0 GHz and 512 MB of RAM.	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	battery life of ten hours,	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	It comes safely sealed in custom made protective bubble wrap,	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Ipad	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	slow	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	charger.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Good thank.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	tablet	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	slow	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	wifi	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Works	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	It comes with a different device charger	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	It takes longer to open up than my older version.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	wifi.	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	They loved it.	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	locked by Este Lauder	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Great little unit for the price	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	wrote to the 2 times	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	32 gb	2	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	iPad!	5	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	charger!!!	1	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Very Quickly-	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	Good ipad...	4	electronics
b0013frnkg_version_2_distilbert_how is wireless connection	small drive.	5	electronics
