group_id	review_text	rating	category
B0013FRNKG	"iPad was received quickly but was not reset to factory settings so I am not able to use.  Is still signed in to previous owner's icloud account including her ""find my iphone"" app so I am not able to reset it.  Will return for refund."	1	electronics
B0013FRNKG	This item shoul not be for sale anymore,there is no hope to ever upgrade it	1	electronics
B0013FRNKG	I just received this IPad, and it looked fine, just slightly worn. However, when I went to charge this I had to force the connector in because the charger would not fit inside the port. It also took over 12 hours for the IPad to fully charge... will return.	1	electronics
B0013FRNKG	charger port died after two months and when i tried to fix it, opened it up and saw some bunk soldering and missing screws.	1	electronics
B0013FRNKG	Becareful when you purchase products from walker and walker. I purchased 2 ipads from them a white one. Which it had a screen protector on it and when i went to take it off the actual screen started to crack and separated from the ipad itself. So i requested a return and sent it back. Then i purchased a black ipad and i went to get data put on amd the guy at the phone cpmpany told me that this ipad was reported lost or stolen. So i contacted amazon and explained what happened. Then i went down to the police station amd made a police report on this. Very bad and i will never buy from then again.	1	electronics
B0013FRNKG	iPad came with damages on 3 of 4 corner. Back piece has a clicking sound, like there is a gap in between the glass and metal. And I cant turn it on because the charger they gave me is a lightning cable but the iPad takes the old school kind	1	electronics
B0013FRNKG	We ordered this iPad for our son. The speaker is blown so we have to replace it and it made for a lousy birthday.	1	electronics
B0013FRNKG	I was disappointed when I received this item, I had bought it because it said that the quality was very good. In fact, it looked like it was dropped and banged in one corner, the metallic back was slightly dented. First time this happens to me with amazon!	1	electronics
B0013FRNKG	It comes with a different device charger and I had to buy a new charger by my own because I open it while Im outside the US.	1	electronics
B0013FRNKG	I have had this iPad for a couple of months now, and I can say it DOES NOT WORK. One trip from Comcast to check my wifi in my house, two trips to the Apple store, and a lot of frustration later I can say that this thing won't connect to any wifi. I am very disappointed considering it was supposed to have been double checked.	1	electronics
B0013FRNKG	LOCKED. This item is locked by Este Lauder and is unuseable	1	electronics
B0013FRNKG	I ordered this product thinking I was getting a new iPad at a great rate.  What I found,  was a second generation iPad that cannot update any further.  It was not working with certain applications downloaded.  I wrote to this company explaining this.  They were nice enough to have me send it back with everything that was included.  They sent me another iPad, but did not send the charger and cord with it.  I now have an older model iPad without the cord to charge it.  Since they have returned the iPad to me I have wrote to the 2 times and I have had no reply.  I would not suggest purchasing anything from this company again.  It is sad to think I spent the same amount of money for an older generation model as I could for a newer model.  I feel duped.	1	electronics
B0013FRNKG	I wasn't given the correct charger!!!	1	electronics
B0013FRNKG	Horrible!!!  This Ipad should have been sold for parts only!  I will post pictures.  The screen lifts off and was wiggling when I was holding it for the first time.  Scratches and cracks everywhere, it has definitely been dropped, maybe a child's toy even.  It arrived dirty and I immediately took a disinfectant wipe to it.  Disgusting and disappointing!!	1	electronics
B0013FRNKG	This tablet was not any good. Ihad this tablet a little over a year and it doesn't work. I plugged it up to chargend now it want even come on.	1	electronics
B0013FRNKG	Battery dies after about 10 minutes of use. After charging for hours.	1	electronics
B0013FRNKG	Received IPad and it would not connect to Internet to set up.	1	electronics
B0013FRNKG	Broke 3 weeks later	1	electronics
B0013FRNKG	"Not working older model
Not worth even 10.00"	1	electronics
B0013FRNKG	I wouldnt even give it a 1 star, i was sold a ipad that was either blocked or was no longer any good. I sent it back. Not happy	1	electronics
B0013FRNKG	Terrible just terrible	1	electronics
B0013FRNKG	Product lasted less than a year with normal use. The IPad will no longer charge. I've contacted the seller about the issue with no response. Will now have to send it away to be fixed.	1	electronics
B0013FRNKG	It stopped working after a couple of month of little use	1	electronics
B0013FRNKG	"- DO NOT PURCHASE -

Overview:
- Bad customer support
- Devices COULD be stolen, no way to know for sure
- Overpriced, since a brand new iPad is only $40 more.

Details:
Bought this iPad 2 a while ago and it just stopped working. Had to bring it to the Apple store to reboot it and then the iPad had an activation lock on it from the previous owner. The only way to unlock it is by either contacting the previous owner and hope that they are willing to share their Apple ID and password with you. Which, for the record, no one will do. The alternative is issuing a hard-reset, which requires a valid proof of purchase (i.e. receipt with serial number).

When you purchase a device from this retailer, they will NOT issue a receipt with a serial number. There is no way to know for sure whether the device you buy is stolen, repurposed or marked as lost. When you receive an iPad that is stolen, scrapped or lost, it will become completely useless to you and you will have wasted $270. Just don't do it.

DigitBargain has a simple return policy; they don't do it. Aside from the 'sketchy' their device management practices, their customer service is equally useless. They barely speak English and completely fail to understand any issue you may experience. As a matter of fact, they have actually stopped responding to my emails. I am very surprised that this retailer is allowed to sell on Amazon, I thought there were standards.

Anyhow, I received a nice $10 promotional code from Amazon for my 'inconvenience' and unfavorable experience. Thanks, Amazon!

Did I mention that you should not purchase an iPad from this company? Well, you shouldn't.

- MK"	1	electronics
B0013FRNKG	Purchased used - like new from warehouse deals.  iPad constantly crashes on all apps. Email, Amazon, candy crush.  It doesn't matter what I am using it for, it crashes.  Never buy used items from warehouse deals. Works long enough for the return window to close and then you are stuck	1	electronics
B0013FRNKG	It would be much better if it took a charge.  I tried 3 different charging cords, but still can't get a charge.	1	electronics
